/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 21.0 | Polciy Loss: 0.6945037841796875 | Steps: 21
Episode: 2 | Reward: 11.0 | Polciy Loss: 0.6924031972885132 | Steps: 32
Episode: 3 | Reward: 36.0 | Polciy Loss: 0.6911875009536743 | Steps: 68
Episode: 4 | Reward: 16.0 | Polciy Loss: 0.6911491751670837 | Steps: 84
Episode: 5 | Reward: 16.0 | Polciy Loss: 0.6927715539932251 | Steps: 100
Episode: 6 | Reward: 15.0 | Polciy Loss: 0.6922397613525391 | Steps: 115
Episode: 7 | Reward: 22.0 | Polciy Loss: 0.6916094422340393 | Steps: 137
Episode: 8 | Reward: 37.0 | Polciy Loss: 0.6924223899841309 | Steps: 174
Episode: 9 | Reward: 32.0 | Polciy Loss: 0.6924159526824951 | Steps: 206
Episode: 10 | Reward: 16.0 | Polciy Loss: 0.691231369972229 | Steps: 222
Episode: 11 | Reward: 61.0 | Polciy Loss: 0.6976352334022522 | Steps: 283
Episode: 12 | Reward: 29.0 | Polciy Loss: 0.6920899152755737 | Steps: 312
Episode: 13 | Reward: 15.0 | Polciy Loss: 0.692366361618042 | Steps: 327
Episode: 14 | Reward: 19.0 | Polciy Loss: 0.6938529014587402 | Steps: 346
Episode: 15 | Reward: 20.0 | Polciy Loss: 0.6920613050460815 | Steps: 366
Episode: 16 | Reward: 44.0 | Polciy Loss: 0.6927797794342041 | Steps: 410
Episode: 17 | Reward: 14.0 | Polciy Loss: 0.6935546398162842 | Steps: 424
Episode: 18 | Reward: 17.0 | Polciy Loss: 0.692478597164154 | Steps: 441
Episode: 19 | Reward: 26.0 | Polciy Loss: 0.6921923160552979 | Steps: 467
Episode: 20 | Reward: 21.0 | Polciy Loss: 0.692207932472229 | Steps: 488
Episode: 21 | Reward: 29.0 | Polciy Loss: 0.6930022835731506 | Steps: 517
Episode: 22 | Reward: 29.0 | Polciy Loss: 0.6924405097961426 | Steps: 546
Episode: 23 | Reward: 21.0 | Polciy Loss: 0.6932930946350098 | Steps: 567
Episode: 24 | Reward: 16.0 | Polciy Loss: 0.6923741102218628 | Steps: 583
Episode: 25 | Reward: 14.0 | Polciy Loss: 0.6925451159477234 | Steps: 597
Episode: 26 | Reward: 37.0 | Polciy Loss: 0.6945968866348267 | Steps: 634
Episode: 27 | Reward: 26.0 | Polciy Loss: 0.6925230026245117 | Steps: 660
Episode: 28 | Reward: 10.0 | Polciy Loss: 0.691353440284729 | Steps: 670
Episode: 29 | Reward: 11.0 | Polciy Loss: 0.6919200420379639 | Steps: 681
Episode: 30 | Reward: 23.0 | Polciy Loss: 0.6923723816871643 | Steps: 704
Episode: 31 | Reward: 41.0 | Polciy Loss: 0.6918598413467407 | Steps: 745
Episode: 32 | Reward: 11.0 | Polciy Loss: 0.6916813254356384 | Steps: 756
Episode: 33 | Reward: 9.0 | Polciy Loss: 0.69141685962677 | Steps: 765
Episode: 34 | Reward: 35.0 | Polciy Loss: 0.6899128556251526 | Steps: 800
Episode: 35 | Reward: 19.0 | Polciy Loss: 0.6912604570388794 | Steps: 819
Episode: 36 | Reward: 25.0 | Polciy Loss: 0.688362717628479 | Steps: 844
Episode: 37 | Reward: 21.0 | Polciy Loss: 0.6929609775543213 | Steps: 865
Episode: 38 | Reward: 9.0 | Polciy Loss: 0.6907199621200562 | Steps: 874
Episode: 39 | Reward: 24.0 | Polciy Loss: 0.6913211941719055 | Steps: 898
Episode: 40 | Reward: 16.0 | Polciy Loss: 0.6906938552856445 | Steps: 914
Episode: 41 | Reward: 21.0 | Polciy Loss: 0.6905250549316406 | Steps: 935
Episode: 42 | Reward: 30.0 | Polciy Loss: 0.6909114122390747 | Steps: 965
Episode: 43 | Reward: 17.0 | Polciy Loss: 0.6899263262748718 | Steps: 982
Episode: 44 | Reward: 19.0 | Polciy Loss: 0.6903871297836304 | Steps: 1001
Episode: 45 | Reward: 13.0 | Polciy Loss: 0.6904649138450623 | Steps: 1014
Episode: 46 | Reward: 14.0 | Polciy Loss: 0.6919422149658203 | Steps: 1028
Episode: 47 | Reward: 29.0 | Polciy Loss: 0.6880842447280884 | Steps: 1057
Episode: 48 | Reward: 46.0 | Polciy Loss: 0.6871307492256165 | Steps: 1103
Episode: 49 | Reward: 31.0 | Polciy Loss: 0.6899162530899048 | Steps: 1134
Episode: 50 | Reward: 23.0 | Polciy Loss: 0.6881285905838013 | Steps: 1157
Episode: 51 | Reward: 14.0 | Polciy Loss: 0.688072681427002 | Steps: 1171
Episode: 52 | Reward: 17.0 | Polciy Loss: 0.6876734495162964 | Steps: 1188
Episode: 53 | Reward: 23.0 | Polciy Loss: 0.6875153183937073 | Steps: 1211
Episode: 54 | Reward: 13.0 | Polciy Loss: 0.690441370010376 | Steps: 1224
Episode: 55 | Reward: 22.0 | Polciy Loss: 0.6870285272598267 | Steps: 1246
Episode: 56 | Reward: 10.0 | Polciy Loss: 0.6866814494132996 | Steps: 1256
Episode: 57 | Reward: 18.0 | Polciy Loss: 0.6867819428443909 | Steps: 1274
Episode: 58 | Reward: 10.0 | Polciy Loss: 0.6881552934646606 | Steps: 1284
Episode: 59 | Reward: 25.0 | Polciy Loss: 0.6883931159973145 | Steps: 1309
Episode: 60 | Reward: 35.0 | Polciy Loss: 0.6876252889633179 | Steps: 1344
Episode: 61 | Reward: 22.0 | Polciy Loss: 0.6862242221832275 | Steps: 1366
Episode: 62 | Reward: 13.0 | Polciy Loss: 0.6855059862136841 | Steps: 1379
Episode: 63 | Reward: 39.0 | Polciy Loss: 0.6872786283493042 | Steps: 1418
Episode: 64 | Reward: 11.0 | Polciy Loss: 0.6877331137657166 | Steps: 1429
Episode: 65 | Reward: 29.0 | Polciy Loss: 0.6861438751220703 | Steps: 1458
Episode: 66 | Reward: 15.0 | Polciy Loss: 0.6856846809387207 | Steps: 1473
Episode: 67 | Reward: 57.0 | Polciy Loss: 0.6808494329452515 | Steps: 1530
Episode: 68 | Reward: 14.0 | Polciy Loss: 0.6832590103149414 | Steps: 1544
Episode: 69 | Reward: 12.0 | Polciy Loss: 0.6835858821868896 | Steps: 1556
Episode: 70 | Reward: 23.0 | Polciy Loss: 0.6859904527664185 | Steps: 1579
Episode: 71 | Reward: 13.0 | Polciy Loss: 0.6831660866737366 | Steps: 1592
Episode: 72 | Reward: 18.0 | Polciy Loss: 0.6841464638710022 | Steps: 1610
Episode: 73 | Reward: 17.0 | Polciy Loss: 0.6836357116699219 | Steps: 1627
Episode: 74 | Reward: 20.0 | Polciy Loss: 0.6845478415489197 | Steps: 1647
Episode: 75 | Reward: 18.0 | Polciy Loss: 0.683638334274292 | Steps: 1665
Episode: 76 | Reward: 22.0 | Polciy Loss: 0.6870139837265015 | Steps: 1687
